Description,Verdict,Character
"The noble, dignified Queen of Sicilia, wrongfully accused of infidelity and forced into hiding for sixteen years by her husband's insane jealousy.",Good,Hermione
"The King of Bohemia and Leontes' lifelong friend, who is the innocent object of Leontes' suspicion and wrath.",Good,Polixenes
"A courageous lady-in-waiting to Hermione who fiercely defends the Queen and acts as the moral conscience of the court, engineering the final reconciliation.",Good,Paulina
"The daughter of Leontes and Hermione, abandoned as an infant and raised by a Shepherd in Bohemia. She is beautiful and marries Prince Florizel.",Good,Perdita
"A loyal and steadfast lord and advisor to Leontes, who refuses the order to murder Polixenes and instead flees with him to Bohemia.",Good,Camillo
"A delightful, quick-witted rogue and ballad-monger who lives by stealing, providing much of the comic relief in the later acts.",Neutral,Autolycus
"An introverted, gentle creature who leaves his underground home to discover the world and is guided by his friends, symbolizing the simple joys of nature.",Good,Mole
"An extroverted, kind, and poetic soul who lives by the river, introducing Mole to the joys of river life and embodying a contented existence.",Good,Water Rat ('Ratty')
"A wealthy, impulsive playboy and owner of Toad Hall, whose addiction to fads, particularly reckless driving, lands him in constant trouble and prison.",Bad,Toad
A reclusive but wise and formidable figure from the Wild Wood who is intensely private but fiercely loyal and helpful to his friends when they are in trouble.,Good,Badger
"A friend of Rat's, a jovial character who joins the friends on their initial picnic and occasionally appears, representing carefree camaraderie.",Good,Otter
"A seagoing rat who visits Rat, tempting him with tales of world travel and a restless desire for wide-world adventure.",Neutral,Sea-Farer
"The uncouth, sinister denizens of the Wild Wood who take over Toad Hall while Toad is imprisoned, representing disorder and base greed.",Bad,Stoats and Weasels
"A brilliant, beautiful, and courageous woman who becomes the mistress and then wife of the Duke of Brachiano, but is driven by unscrupulous ambition.",Bad,Vittoria Corombona
"Vittoria's cynical, opportunistic brother and panderer. He is an ironic commentator on society, murdering his sister's husband and his own brother for worldly success.",Bad,Flamineo
"Vittoria's lover; a duke consumed by desire, who brutally murders his wife Isabella and Vittoria's husband Camillo to marry his mistress.",Bad,The Duke of Brachiano
"Brachiano's patient, devoted, and noble first wife who, to shield her husband's reputation, takes the blame for their separation before being poisoned by him.",Good,Isabella
"The Duke of Florence and Isabella's brother; a clever, subtle politician who orchestrates a complex, private revenge to avenge his sister's murder.",Bad,Francisco de Medicis
"A vengeful, banished nobleman who secretly loves Isabella and is hired by Francisco to murder Brachiano and Vittoria.",Bad,Count Lodovico
"A hypocritical, violent enemy of Vittoria who rails against her immorality and is later elected Pope, retaining his vengeful nature.",Bad,Cardinal Monticelso (Pope Paul IV)
"A gentleman of fashion and wit who conspires to win the heart and fortune of Millamant, proving his worth through clever scheming and genuine love.",Good,Mirabell
"A witty, desirable, and independent heiress who matches Mirabell's intellect. She is determined to marry for love but maintains a defiant stance against subjugation.",Good,Mrs. Millamant
"An aged, affected coquette and Millamant's aunt, who is intensely hostile toward Mirabell for once having feigned love for her.",Neutral,Lady Wishfort
"Lady Wishfort's villainous, unscrupulous son-in-law, who is having an affair with Mrs. Marwood and plots to control his wife's and mother-in-law's fortunes.",Bad,Fainall
"Fainall's secretly jealous mistress, who despises the social world but is passionately in love with Mirabell, scheming to ruin him and Millamant.",Bad,Mrs. Marwood
"Lady Wishfort's resourceful servant who is instrumental in Mirabell's elaborate plan, marrying his servant, Waitwell.",Neutral,Foible
"Mirabell's servant, who is forced to impersonate the fictitious Sir Rowland to court Lady Wishfort as part of Mirabell's grand scheme.",Neutral,Waitwell
"The young, naive protagonist who embarks on a voyage to South America, leading to her intellectual and sexual awakening as an individual.",Good,Rachel Vinrance
Rachel's reserved and intellectual aunt who accompanies her. She represents the constraints and complexities of female existence.,Neutral,Helen Ambrose
"Rachel's uncle and Helen's husband, a self-centered scholar concerned only with his ancient books.",Neutral,Ridley Ambrose
"Rachel's father, the Captain of the ship Euphrosyne, a passive and somewhat distant figure.",Neutral,Mr. Willoughby Vinrance
"A young, intellectual writer who meets Rachel in Santa Marina, becomes her close companion, and proposes marriage to her.",Good,Terence Hewet
"A flirtatious, pompous, and successful politician who represents the traditional male world of power and social convention.",Bad,Richard Dalloway
"Richard's elegant wife who takes an interest in Rachel, representing a more constrained version of independent womanhood.",Neutral,Clarissa Dalloway
"A brilliant, eccentric private detective who investigates the Birlstone murder and, using logic and disguise, uncovers the truth of the victim's identity and past.",Good,Sherlock Holmes
"Holmes's loyal friend and narrator, a former military doctor who accompanies Holmes and records the events.",Good,Dr. John H. Watson
The murder 'victim'; a country gentleman secretly a Pinkerton detective who fled the USA after infiltrating a murderous secret society called the 'Scowrers'.,Good,John Douglas (Birdy Edwards)
The notorious criminal mastermind and villain whose shadowy organisation is suggested to be behind the threats to Douglas.,Bad,Professor Moriarty
"The competent, sharp-witted police inspector from Scotland Yard who investigates the murder but needs Holmes's deeper insight.",Good,Inspector Alec MacDonald
Douglas's guest and confidant; he helps Douglas fake his own death to evade the 'Scowrers'.,Good,Cecil Barker
A brutal 'Scowrer' and enemy of Douglas (Birdy Edwards) who attempts to murder him at Birlstone and is accidentally killed in the struggle.,Bad,Ted Baldwin
"A simple Mexican Indian farmer and reluctant protagonist who becomes a revolutionary general, driven by personal grievance rather than political ideology.",Ambiguous,Demetrio Macías
"A self-serving former journalist who joins Demetrio's forces, intellectualizing the revolution but always looking out for his own gain and safety.",Bad,Luis Cervantes
"A young woman who nurses Demetrio and develops feelings for him, but is tragically murdered by the camp follower La Pintada.",Good,Camilla (or Camila)
"A violent, armed female thug and camp follower, consumed by jealousy, who brutally murders Camilla in front of Demetrio's men.",Bad,La Pintada (War Paint)
"A disillusioned intellectual and officer who expresses a pessimistic view of the revolution, believing it to be a pointless cyclone of violence.",Good,Solís
"A rebel whose behavior is sadistically violent and criminal, exemplifying the brutal, base nature of many in the revolutionary forces.",Bad,Blondie (Whitey Margarito)
"One of Demetrio's loyal but brutal followers, representing the unthinking, violent underdogs of the revolution.",Neutral,Pancracio
"The protagonist, a scientist and inventor whose desire to see the future leads him to witness the grim decay and devolution of humanity.",Good,The Time Traveller (Unnamed)
"A fragile, child-like Eloi woman from the future (802,701 AD) whom the Time Traveller befriends and tries to protect from the Morlocks.",Good,Weena
"The subterranean, cannibalistic, and devolved descendants of humanity's working class, who prey on the surface-dwelling Eloi.",Bad,The Morlocks
"The beautiful, passive, and childlike surface-dwelling descendants of humanity's former aristocracy, who have lost all intellectual curiosity.",Neutral,The Eloi
A skeptical and conservative friend of the Time Traveller who doubts the possibility of time travel and represents Victorian rigidity.,Neutral,Filby
"One of the Time Traveller's friends who gathers to hear his story, representing the skeptical, immediate audience.",Neutral,The Journalist (Unnamed)
"Another friend and witness to the Time Traveller's machine, representing the intellectual establishment of the era.",Neutral,The Editor (Unnamed)
